path	field	rule_id	locator	locator_sha256	matched	reason	introduced_by	removal_gate	expires
autotools-wrappers/PKGBUILD	source	SRC_MUTABLE_REF	"git+https://anongit.gentoo.org/git/proj/autotools-wrappers.git#tag=at-${pkgver}"	08abfa9d9baa2dd94b4e9038805b6be7c3e7d66d092353283069efe9fb6d0226	#tag=	source pinned to a mutable tag ref (#tag=) rather than an immutable commit	cdfdf7a56b7ad44450576f48b5defa5b8bf6556e	PR-1	2027-02-28
ca-certificates/PKGBUILD	source	SRC_INSECURE_HTTP	"http://ftp.debian.org/debian/pool/main/c/${pkgname}/${pkgname}_${pkgver}.tar.xz"	9cc2815c8c56f9482d45dfdffda62ac337d4cee14b2a8c116f5b88cf043d083b	http://	source fetched over plaintext http://	3879cf7fa797b79af12f9ea1262a42e869142561	PR-1	2027-02-28
dash/PKGBUILD	source	SRC_INSECURE_HTTP	"http://gondor.apana.org.au/~herbert/dash/files/${pkgname}-${pkgver}.tar.gz"	aab87251f639d983abd8ae50449beeba5977f525183a1d28ce00a05deaf1a9da	http://	source fetched over plaintext http://	71b2dda45dd54b1d72ff2ffb503d195e58b20cbf	PR-1	2027-02-28
db/PKGBUILD	source	SRC_INSECURE_HTTP	http://download.oracle.com/berkeley-db/db-${pkgver}.tar.gz	8bdea04a904be22f6169ff72036bc6b8c047391ca22cc66c292c354d9e8a5535	http://	source fetched over plaintext http://	5205288d38f4ac3ee3ddf99c7e46c8b2dc124bf1	PR-1	2027-02-28
libargp/PKGBUILD	source	SRC_GIT_PROTO	"git+git://git.savannah.gnu.org/gnulib.git#commit=${_commit}"	a0accbe9e2aabf437652a0fd4752283f095d949e879d6f3da67f4aec0c81a7f5	git://	insecure git:// transport for a VCS source fetch	873547124d29166eab83db76ac0717a9a7877281	PR-1	2027-02-28
mingw-w64-cross-mingwarm64-binutils/PKGBUILD	pkgver	TOOLCHAIN_DEV_VER	2.44dev	205f93dea78f22e1bb88de2f7f52fd58fbdabae5d594adcae573cef1ceab9875	2.44dev	ARM64 cross-toolchain recipe pinned to an upstream development snapshot version	56109d42ccc854cfe41dc11994990c93929ad967	T0-corrected-toolchain	2027-02-28
mingw-w64-cross-mingwarm64-crt/PKGBUILD	pkgver	TOOLCHAIN_DEV_VER	12.0.0dev	066c1b929abc3cdc16ab7c33c31f54832b61c3572281f5676cbf603230c043a1	12.0.0dev	ARM64 cross-toolchain recipe pinned to an upstream development snapshot version	6af3c1f9d9d1ab8a1a6d247036a6380f60d3758b	T0-corrected-toolchain	2027-02-28
mingw-w64-cross-mingwarm64-gcc/PKGBUILD	pkgver	TOOLCHAIN_DEV_VER	15.0.0dev	ba5e9b5755f5fb6fbd049660234a43ed72474e2085cf018f3a3f42622def410e	15.0.0dev	ARM64 cross-toolchain recipe pinned to an upstream development snapshot version	6af3c1f9d9d1ab8a1a6d247036a6380f60d3758b	T0-corrected-toolchain	2027-02-28
mingw-w64-cross-mingwarm64-headers/PKGBUILD	pkgver	TOOLCHAIN_DEV_VER	12.0.0dev	066c1b929abc3cdc16ab7c33c31f54832b61c3572281f5676cbf603230c043a1	12.0.0dev	ARM64 cross-toolchain recipe pinned to an upstream development snapshot version	07a4d137d3ab5de671f66a43883b36518a98fce5	T0-corrected-toolchain	2027-02-28
mingw-w64-cross-mingwarm64-tools/PKGBUILD	pkgver	TOOLCHAIN_DEV_VER	12.0.0dev	066c1b929abc3cdc16ab7c33c31f54832b61c3572281f5676cbf603230c043a1	12.0.0dev	ARM64 cross-toolchain recipe pinned to an upstream development snapshot version	25e70e353f4db387ab564ea82bafa40b38c78233	T0-corrected-toolchain	2027-02-28
mingw-w64-cross-mingwarm64-windows-default-manifest/PKGBUILD	source	SRC_GIT_PROTO,SRC_MUTABLE_REF	"git://sourceware.org/git/cygwin-apps/${_realname}.git#tag=${_GIT_TAG}"	abf080f350d9e5201fa5cb903453019f7a88bc16dee278a9eb03ead83c108a1d	#tag=,git://	insecure git:// transport for a VCS source fetch; source pinned to a mutable tag ref (#tag=) rather than an immutable commit	6af3c1f9d9d1ab8a1a6d247036a6380f60d3758b	PR-1	2027-02-28
mingw-w64-cross-mingwarm64-winpthreads/PKGBUILD	pkgver	TOOLCHAIN_DEV_VER	12.0.0dev	066c1b929abc3cdc16ab7c33c31f54832b61c3572281f5676cbf603230c043a1	12.0.0dev	ARM64 cross-toolchain recipe pinned to an upstream development snapshot version	6af3c1f9d9d1ab8a1a6d247036a6380f60d3758b	T0-corrected-toolchain	2027-02-28
mingw-w64-cross-mingwarm64-winstorecompat/PKGBUILD	pkgver	TOOLCHAIN_DEV_VER	12.0.0dev	066c1b929abc3cdc16ab7c33c31f54832b61c3572281f5676cbf603230c043a1	12.0.0dev	ARM64 cross-toolchain recipe pinned to an upstream development snapshot version	fd3069b90ad5eb8f49a9cd7bb18cc854076009ea	T0-corrected-toolchain	2027-02-28
mingw-w64-cross-windows-default-manifest/PKGBUILD	source	SRC_GIT_PROTO,SRC_MUTABLE_REF	"git://sourceware.org/git/cygwin-apps/${_realname}.git#tag=${_GIT_TAG}"	abf080f350d9e5201fa5cb903453019f7a88bc16dee278a9eb03ead83c108a1d	#tag=,git://	insecure git:// transport for a VCS source fetch; source pinned to a mutable tag ref (#tag=) rather than an immutable commit	2d6ea13c466995a67058b0197b6dd3a5c0df6178	PR-1	2027-02-28
mpdecimal/PKGBUILD	source	SRC_INSECURE_HTTP	"http://www.bytereef.org/software/${pkgname}/releases/${pkgname}-${pkgver}.tar.gz"	f1a1b9268e3fb0174e9ff6a260248a40947d73a8d9a9e4afaec09b9af768fe94	http://	source fetched over plaintext http://	ea809dd608cb3f9894f10633ba435c67270f8c5a	PR-1	2027-02-28
msys2-runtime/PKGBUILD	source	SRC_GIT_PROTO,SRC_MUTABLE_REF	'msys2-runtime'::git://sourceware.org/git/newlib-cygwin.git#tag=cygwin-${pkgver}	a8ec4e933f663f5916be31cc190f9aaac3dcd4488468c6f193ae567345da0f44	#tag=,git://	insecure git:// transport for a VCS source fetch; source pinned to a mutable tag ref (#tag=) rather than an immutable commit	88de0fab2dc9e4083889f7733c75289d703ff59a	PR-1	2027-02-28
perl-JSON/PKGBUILD	source	SRC_INSECURE_HTTP	http://search.cpan.org/CPAN/authors/id/I/IS/ISHIGAKI/JSON-${pkgver}.tar.gz	0904502072c49567781bec5327d875c53c48ffb58a108553d5a047a534a78d5d	http://	source fetched over plaintext http://	df906ada6c3b2b9dc760143c6d664ae15ce934f3	PR-1	2027-02-28
perl-http-cookiejar/PKGBUILD	source	SRC_INSECURE_HTTP	http://search.cpan.org/CPAN/authors/id/D/DA/DAGOLDEN/$_dist-$pkgver.tar.gz	e91d48a5941f8b407e22ae33d8dcc9b5bbff99bf131be50f34c89e122dde1fc8	http://	source fetched over plaintext http://	77a788114ade53408325a2e1db7e94807a6bdb3b	PR-1	2027-02-28
perl-sgmls/PKGBUILD	source	SRC_INSECURE_HTTP	http://backpan.perl.org/authors/id/D/DM/DMEGG/SGMLSpm-${pkgver}.tar.gz	21eb012930aaf6ce1d1e723e4630f85390e1a2091f69f64c496a1c2719bbf952	http://	source fetched over plaintext http://	6cb875a37f9c54e2baa45fb17da612239b32657a	PR-1	2027-02-28
rebase/PKGBUILD	source	SRC_GIT_PROTO,SRC_MUTABLE_REF	${pkgname}-${pkgver}::git://sourceware.org/git/cygwin-apps/rebase.git#tag=${pkgname}-${pkgver//./-}	d920a1bf1da67af6902832e1632f6385ab8e0c01927cc89e52c01ccb8f25a063	#tag=,git://	insecure git:// transport for a VCS source fetch; source pinned to a mutable tag ref (#tag=) rather than an immutable commit	d2fc4a92862ea23cabdc03694e2c12d7ba35d1c7	PR-1	2027-02-28
windows-default-manifest/PKGBUILD	source	SRC_GIT_PROTO,SRC_MUTABLE_REF	"git://sourceware.org/git/cygwin-apps/${pkgname}.git#tag=${_GIT_TAG}"	0f272cb3b3c887a4efb56cacd92c44a076392d016747d155cdb8a4ea9912e5ac	#tag=,git://	insecure git:// transport for a VCS source fetch; source pinned to a mutable tag ref (#tag=) rather than an immutable commit	55310b173ffffea7146cd5c90899cec12fde23f3	PR-1	2027-02-28
